Zip.Code,Median Household Income
ZCTA5 12803,61906
ZCTA5 12804,65224
ZCTA5 12808,70125
ZCTA5 12809,52971
ZCTA5 12810,70288
ZCTA5 12811,
ZCTA5 12812,63672
ZCTA5 12814,53958
ZCTA5 12815,61394
ZCTA5 12816,52835
ZCTA5 12817,63125
ZCTA5 12819,55469
ZCTA5 12821,44952
ZCTA5 12822,53767
ZCTA5 12823,
ZCTA5 12824,62813
ZCTA5 12827,58563
ZCTA5 12828,49633
ZCTA5 12831,80055
ZCTA5 12832,43370
ZCTA5 12833,76600
ZCTA5 12834,64484
ZCTA5 12835,51444
ZCTA5 12836,58036
ZCTA5 12837,45486
ZCTA5 12838,62321
ZCTA5 12839,46788
ZCTA5 12841,38125
ZCTA5 12842,44375
ZCTA5 12843,35750
ZCTA5 12844,77929
ZCTA5 12845,66555
ZCTA5 12846,54841
ZCTA5 12847,66875
ZCTA5 12849,57188
ZCTA5 12850,74792
ZCTA5 12851,44375
ZCTA5 12852,47500
ZCTA5 12853,36250
ZCTA5 12855,45000
ZCTA5 12856,48705
ZCTA5 12857,50625
ZCTA5 12858,69583
ZCTA5 12859,58262
ZCTA5 12860,39798
ZCTA5 12861,59375
ZCTA5 12862,
ZCTA5 12863,79219
ZCTA5 12864,
ZCTA5 12865,57831
ZCTA5 12866,74025
ZCTA5 12870,46667
ZCTA5 12871,65104
ZCTA5 12872,29167
ZCTA5 12873,49150
ZCTA5 12874,68500
ZCTA5 12878,50625
ZCTA5 12883,53963
ZCTA5 12884,55250
ZCTA5 12885,48641
ZCTA5 12886,
ZCTA5 12887,45759
ZCTA5 12901,44763
ZCTA5 12903,53449
ZCTA5 12910,46471
ZCTA5 12911,
ZCTA5 12912,53375
ZCTA5 12913,55435
ZCTA5 12914,43250
ZCTA5 12916,57083
ZCTA5 12917,51711
ZCTA5 12918,58505
ZCTA5 12919,32392
ZCTA5 12920,51250
ZCTA5 12921,70158
ZCTA5 12922,53906
ZCTA5 12923,40227
ZCTA5 12924,50556
ZCTA5 12926,49741
ZCTA5 12927,41250
ZCTA5 12928,49073
ZCTA5 12929,50714
ZCTA5 12930,49375
ZCTA5 12932,49479
ZCTA5 12933,
ZCTA5 12934,48438
ZCTA5 12935,48112
ZCTA5 12936,61125
ZCTA5 12937,42721
ZCTA5 12939,52917
ZCTA5 12941,63125
ZCTA5 12942,56161
ZCTA5 12943,53152
ZCTA5 12944,44322
ZCTA5 12945,71250
ZCTA5 12946,55952
ZCTA5 12950,53750
ZCTA5 12952,41250
ZCTA5 12953,50728
ZCTA5 12955,64583
ZCTA5 12956,59511
ZCTA5 12957,42703
ZCTA5 12958,41018
ZCTA5 12959,44345
ZCTA5 12960,75833
ZCTA5 12961,32708
ZCTA5 12962,67478
ZCTA5 12964,80417
ZCTA5 12965,40486
ZCTA5 12966,40915
ZCTA5 12967,44306
ZCTA5 12969,41786
ZCTA5 12970,48125
ZCTA5 12972,65913
ZCTA5 12973,60208
ZCTA5 12974,49333
ZCTA5 12975,71667
ZCTA5 12976,66042
ZCTA5 12977,
ZCTA5 12978,
ZCTA5 12979,59400
ZCTA5 12980,40833
ZCTA5 12981,59570
ZCTA5 12983,49859
ZCTA5 12985,39414
ZCTA5 12986,53236
ZCTA5 12987,32917
ZCTA5 12989,65592
ZCTA5 12992,50375
ZCTA5 12993,49491
ZCTA5 12996,56750
ZCTA5 12997,57500
ZCTA5 12998,42350
ZCTA5 13020,52083
ZCTA5 13021,47905
ZCTA5 13024,
ZCTA5 13026,67159
ZCTA5 13027,70593
ZCTA5 13028,40000
ZCTA5 13029,62459
ZCTA5 13030,65241
ZCTA5 13031,70182
ZCTA5 13032,52646
