Zip Code,Population
"ZCTA5 12143, New York",5137
"ZCTA5 12144, New York",20555
"ZCTA5 12147, New York",499
"ZCTA5 12148, New York",4569
"ZCTA5 12149, New York",2474
"ZCTA5 12150, New York",914
"ZCTA5 12151, New York",708
"ZCTA5 12153, New York",814
"ZCTA5 12154, New York",2818
"ZCTA5 12155, New York",1977
"ZCTA5 12156, New York",848
"ZCTA5 12157, New York",4061
"ZCTA5 12158, New York",6309
"ZCTA5 12159, New York",7896
"ZCTA5 12160, New York",944
"ZCTA5 12161, New York",160
"ZCTA5 12164, New York",365
"ZCTA5 12165, New York",175
"ZCTA5 12166, New York",1363
"ZCTA5 12167, New York",2438
"ZCTA5 12168, New York",1952
"ZCTA5 12169, New York",306
"ZCTA5 12170, New York",4945
"ZCTA5 12172, New York",405
"ZCTA5 12173, New York",1753
"ZCTA5 12174, New York",345
"ZCTA5 12175, New York",797
"ZCTA5 12176, New York",198
"ZCTA5 12177, New York",518
"ZCTA5 12180, New York",53606
"ZCTA5 12182, New York",14733
"ZCTA5 12183, New York",2620
"ZCTA5 12184, New York",7148
"ZCTA5 12185, New York",2037
"ZCTA5 12186, New York",6277
"ZCTA5 12187, New York",697
"ZCTA5 12188, New York",10980
"ZCTA5 12189, New York",17568
"ZCTA5 12190, New York",674
"ZCTA5 12192, New York",1722
"ZCTA5 12193, New York",2016
"ZCTA5 12194, New York",207
"ZCTA5 12195, New York",154
"ZCTA5 12196, New York",3031
"ZCTA5 12197, New York",2233
"ZCTA5 12198, New York",7903
"ZCTA5 12202, New York",9628
"ZCTA5 12203, New York",29952
"ZCTA5 12204, New York",7349
"ZCTA5 12205, New York",26977
"ZCTA5 12206, New York",16395
"ZCTA5 12207, New York",1948
"ZCTA5 12208, New York",20702
"ZCTA5 12209, New York",10121
"ZCTA5 12210, New York",10158
"ZCTA5 12211, New York",11303
"ZCTA5 12222, New York",6489
"ZCTA5 12302, New York",27582
"ZCTA5 12303, New York",29857
"ZCTA5 12304, New York",21482
"ZCTA5 12305, New York",5716
"ZCTA5 12306, New York",25636
"ZCTA5 12307, New York",7692
"ZCTA5 12308, New York",15335
"ZCTA5 12309, New York",29343
"ZCTA5 12401, New York",35040
"ZCTA5 12404, New York",3385
"ZCTA5 12405, New York",780
"ZCTA5 12406, New York",823
"ZCTA5 12407, New York",173
"ZCTA5 12409, New York",804
"ZCTA5 12410, New York",397
"ZCTA5 12411, New York",497
"ZCTA5 12412, New York",673
"ZCTA5 12413, New York",2948
"ZCTA5 12414, New York",10510
"ZCTA5 12416, New York",277
"ZCTA5 12417, New York",581
"ZCTA5 12418, New York",537
"ZCTA5 12419, New York",722
"ZCTA5 12420, New York",363
"ZCTA5 12421, New York",470
"ZCTA5 12422, New York",339
"ZCTA5 12423, New York",1097
"ZCTA5 12424, New York",250
"ZCTA5 12427, New York",576
"ZCTA5 12428, New York",6602
"ZCTA5 12429, New York",281
"ZCTA5 12430, New York",1194
"ZCTA5 12431, New York",1381
"ZCTA5 12432, New York",492
"ZCTA5 12433, New York",483
"ZCTA5 12434, New York",751
"ZCTA5 12435, New York",326
"ZCTA5 12436, New York",417
"ZCTA5 12438, New York",59
"ZCTA5 12439, New York",305
"ZCTA5 12440, New York",1980
"ZCTA5 12441, New York",114
"ZCTA5 12442, New York",953
"ZCTA5 12443, New York",3825
"ZCTA5 12444, New York",497
"ZCTA5 12446, New York",5061
"ZCTA5 12448, New York",388
"ZCTA5 12449, New York",3367
"ZCTA5 12450, New York",183
"ZCTA5 12451, New York",1674
"ZCTA5 12452, New York",213
"ZCTA5 12453, New York",366
"ZCTA5 12454, New York",297
"ZCTA5 12455, New York",1988
"ZCTA5 12456, New York",639
"ZCTA5 12457, New York",763
"ZCTA5 12458, New York",3232
"ZCTA5 12459, New York",161
"ZCTA5 12460, New York",277
"ZCTA5 12461, New York",1634
"ZCTA5 12463, New York",1484
"ZCTA5 12464, New York",1020
"ZCTA5 12465, New York",266
"ZCTA5 12466, New York",2471
"ZCTA5 12468, New York",1036
"ZCTA5 12469, New York",677
"ZCTA5 12470, New York",536
"ZCTA5 12471, New York",215
"ZCTA5 12472, New York",1572
"ZCTA5 12473, New York",861
"ZCTA5 12474, New York",1162
"ZCTA5 12475, New York",354
"ZCTA5 12477, New York",18787
"ZCTA5 12480, New York",634
"ZCTA5 12481, New York",1356
"ZCTA5 12482, New York",680
"ZCTA5 12483, New York",259
"ZCTA5 12484, New York",2733
"ZCTA5 12485, New York",865
"ZCTA5 12486, New York",1523
"ZCTA5 12487, New York",3268
"ZCTA5 12489, New York",1292
"ZCTA5 12490, New York",110
"ZCTA5 12491, New York",1675
"ZCTA5 12492, New York",271
"ZCTA5 12493, New York",495
"ZCTA5 12494, New York",764
"ZCTA5 12495, New York",265
"ZCTA5 12496, New York",1634
"ZCTA5 12498, New York",4851
"ZCTA5 12501, New York",2457
"ZCTA5 12502, New York",1164
"ZCTA5 12503, New York",775
"ZCTA5 12504, New York",1395
"ZCTA5 12507, New York",167
"ZCTA5 12508, New York",19880
"ZCTA5 12512, New York",127
"ZCTA5 12513, New York",651
"ZCTA5 12514, New York",2938
"ZCTA5 12515, New York",1549
"ZCTA5 12516, New York",1833
"ZCTA5 12517, New York",509
"ZCTA5 12518, New York",5870
"ZCTA5 12520, New York",3109
"ZCTA5 12521, New York",1644
"ZCTA5 12522, New York",5172
"ZCTA5 12523, New York",1798
"ZCTA5 12524, New York",15598
"ZCTA5 12525, New York",3311
"ZCTA5 12526, New York",3686
"ZCTA5 12527, New York",147
"ZCTA5 12528, New York",13344
"ZCTA5 12529, New York",2859
"ZCTA5 12530, New York",124
"ZCTA5 12531, New York",3601
"ZCTA5 12533, New York",25307
"ZCTA5 12534, New York",17867
"ZCTA5 12538, New York",14578
"ZCTA5 12540, New York",7802
"ZCTA5 12542, New York",5913
"ZCTA5 12543, New York",3001
"ZCTA5 12545, New York",4763
"ZCTA5 12546, New York",3039
"ZCTA5 12547, New York",2891
"ZCTA5 12548, New York",1494
"ZCTA5 12549, New York",10201
"ZCTA5 12550, New York",54447
"ZCTA5 12553, New York",24438
"ZCTA5 12561, New York",18308
"ZCTA5 12563, New York",8084
"ZCTA5 12564, New York",7338
"ZCTA5 12565, New York",1487
"ZCTA5 12566, New York",10753
"ZCTA5 12567, New York",2854
"ZCTA5 12569, New York",9826
"ZCTA5 12570, New York",7699
"ZCTA5 12571, New York",9918
"ZCTA5 12572, New York",9123
"ZCTA5 12574, New York",329
"ZCTA5 12575, New York",2258
"ZCTA5 12577, New York",2029
"ZCTA5 12578, New York",2411
"ZCTA5 12580, New York",4402
"ZCTA5 12581, New York",2246
"ZCTA5 12582, New York",6191
"ZCTA5 12583, New York",2451
"ZCTA5 12585, New York",885
"ZCTA5 12586, New York",12540
"ZCTA5 12589, New York",17228
"ZCTA5 12590, New York",35102
"ZCTA5 12592, New York",1486
"ZCTA5 12594, New York",4275
"ZCTA5 12601, New York",43398
"ZCTA5 12603, New York",42810
"ZCTA5 12604, New York",586
"ZCTA5 12701, New York",11324
